Year,Date,Plot,Sub_Plot,ID,Treatment,Fire,T+F,Group,Native,Species,Coverage
0,2020-07-20,1,1,1-1-Tsp,Tsp,Sp,Tsp-Sp,Bare,UK,Bareground,0
0,2020-07-20,1,1,1-1-Tsp,Tsp,Sp,Tsp-Sp,Grass,Non-native,Paspalum notatum,10
0,2020-07-20,1,1,1-1-Tsp,Tsp,Sp,Tsp-Sp,Grass,Non-native,Cynodon dactylon,0
0,2020-07-20,1,1,1-1-Tsp,Tsp,Sp,Tsp-Sp,Grass,Non-native,Eremochloa ophiuroides,1
0,2020-07-20,1,1,1-1-Tsp,Tsp,Sp,Tsp-Sp,Sedge,Native,Cyperus spp.,1
0,2020-07-20,1,1,1-1-Tsp,Tsp,Sp,Tsp-Sp,Forb,Native,Oxalis corniculata,1
0,2020-07-20,1,1,1-1-Tsp,Tsp,Sp,Tsp-Sp,Grass,Native,Paspalum setaceum,0
0,2020-07-20,1,2,1-2-C,C,Sp,C-Sp,Bare,UK,Bareground,0
0,2020-07-20,1,2,1-2-C,C,Sp,C-Sp,Grass,Non-native,Paspalum notatum,10
0,2020-07-20,1,2,1-2-C,C,Sp,C-Sp,Grass,Non-native,Cynodon dactylon,0
0,2020-07-20,1,2,1-2-C,C,Sp,C-Sp,Grass,Non-native,Eremochloa ophiuroides,1
0,2020-07-20,1,2,1-2-C,C,Sp,C-Sp,Sedge,Native,Cyperus spp.,1
0,2020-07-20,1,2,1-2-C,C,Sp,C-Sp,Forb,Native,Oxalis corniculata,1
0,2020-07-20,1,2,1-2-C,C,Sp,C-Sp,Grass,Native,Paspalum setaceum,0
0,2020-07-20,1,3,1-3-S,S,Sp,S-Sp,Bare,UK,Bareground,0
0,2020-07-20,1,3,1-3-S,S,Sp,S-Sp,Grass,Non-native,Paspalum notatum,9
0,2020-07-20,1,3,1-3-S,S,Sp,S-Sp,Grass,Non-native,Cynodon dactylon,2
0,2020-07-20,1,3,1-3-S,S,Sp,S-Sp,Grass,Non-native,Eremochloa ophiuroides,3
0,2020-07-20,1,3,1-3-S,S,Sp,S-Sp,Sedge,Native,Cyperus spp.,1
0,2020-07-20,1,3,1-3-S,S,Sp,S-Sp,Forb,Native,Oxalis corniculata,1
0,2020-07-20,1,3,1-3-S,S,Sp,S-Sp,Grass,Native,Paspalum setaceum,1
0,2020-07-20,1,4,1-4-Tw,Tw,Sp,Tw-Sp,Bare,UK,Bareground,0
0,2020-07-20,1,4,1-4-Tw,Tw,Sp,Tw-Sp,Grass,Non-native,Paspalum notatum,10
0,2020-07-20,1,4,1-4-Tw,Tw,Sp,Tw-Sp,Grass,Non-native,Cynodon dactylon,0
0,2020-07-20,1,4,1-4-Tw,Tw,Sp,Tw-Sp,Grass,Non-native,Eremochloa ophiuroides,0
0,2020-07-20,1,4,1-4-Tw,Tw,Sp,Tw-Sp,Sedge,Native,Cyperus spp.,0
0,2020-07-20,1,4,1-4-Tw,Tw,Sp,Tw-Sp,Forb,Native,Oxalis corniculata,0
0,2020-07-20,1,4,1-4-Tw,Tw,Sp,Tw-Sp,Grass,Native,Paspalum setaceum,0
0,2020-07-20,1,5,1-5-S,S,Sp,S-Sp,Bare,UK,Bareground,0
0,2020-07-20,1,5,1-5-S,S,Sp,S-Sp,Grass,Non-native,Paspalum notatum,10
0,2020-07-20,1,5,1-5-S,S,Sp,S-Sp,Grass,Non-native,Cynodon dactylon,0
0,2020-07-20,1,5,1-5-S,S,Sp,S-Sp,Grass,Non-native,Eremochloa ophiuroides,0
0,2020-07-20,1,5,1-5-S,S,Sp,S-Sp,Sedge,Native,Cyperus spp.,0
0,2020-07-20,1,5,1-5-S,S,Sp,S-Sp,Forb,Native,Oxalis corniculata,0
0,2020-07-20,1,5,1-5-S,S,Sp,S-Sp,Grass,Native,Paspalum setaceum,0
0,2020-07-20,1,6,1-6-Tsp,Tsp,Sp,Tsp-Sp,Bare,UK,Bareground,0
0,2020-07-20,1,6,1-6-Tsp,Tsp,Sp,Tsp-Sp,Grass,Non-native,Paspalum notatum,10
0,2020-07-20,1,6,1-6-Tsp,Tsp,Sp,Tsp-Sp,Grass,Non-native,Cynodon dactylon,1
0,2020-07-20,1,6,1-6-Tsp,Tsp,Sp,Tsp-Sp,Grass,Non-native,Eremochloa ophiuroides,3
0,2020-07-20,1,6,1-6-Tsp,Tsp,Sp,Tsp-Sp,Sedge,Native,Cyperus spp.,1
0,2020-07-20,1,6,1-6-Tsp,Tsp,Sp,Tsp-Sp,Forb,Native,Oxalis corniculata,1
0,2020-07-20,1,6,1-6-Tsp,Tsp,Sp,Tsp-Sp,Grass,Native,Paspalum setaceum,0
0,2020-07-20,1,7,1-7-Tw,Tw,Sp,Tw-Sp,Bare,UK,Bareground,0
0,2020-07-20,1,7,1-7-Tw,Tw,Sp,Tw-Sp,Grass,Non-native,Paspalum notatum,10
0,2020-07-20,1,7,1-7-Tw,Tw,Sp,Tw-Sp,Grass,Non-native,Cynodon dactylon,1
0,2020-07-20,1,7,1-7-Tw,Tw,Sp,Tw-Sp,Grass,Non-native,Eremochloa ophiuroides,3
0,2020-07-20,1,7,1-7-Tw,Tw,Sp,Tw-Sp,Sedge,Native,Cyperus spp.,1
0,2020-07-20,1,7,1-7-Tw,Tw,Sp,Tw-Sp,Forb,Native,Oxalis corniculata,0
0,2020-07-20,1,7,1-7-Tw,Tw,Sp,Tw-Sp,Grass,Native,Paspalum setaceum,0
0,2020-07-20,1,8,1-8-C,C,Sp,C-Sp,Bare,UK,Bareground,0
0,2020-07-20,1,8,1-8-C,C,Sp,C-Sp,Grass,Non-native,Paspalum notatum,10
0,2020-07-20,1,8,1-8-C,C,Sp,C-Sp,Grass,Non-native,Cynodon dactylon,0
0,2020-07-20,1,8,1-8-C,C,Sp,C-Sp,Grass,Non-native,Eremochloa ophiuroides,3
0,2020-07-20,1,8,1-8-C,C,Sp,C-Sp,Sedge,Native,Cyperus spp.,0
0,2020-07-20,1,8,1-8-C,C,Sp,C-Sp,Forb,Native,Oxalis corniculata,0
0,2020-07-20,1,8,1-8-C,C,Sp,C-Sp,Grass,Native,Paspalum setaceum,0
0,2020-07-20,1,9,1-9-Tsp,Tsp,Sp,Tsp-Sp,Bare,UK,Bareground,0
0,2020-07-20,1,9,1-9-Tsp,Tsp,Sp,Tsp-Sp,Grass,Non-native,Paspalum notatum,10
0,2020-07-20,1,9,1-9-Tsp,Tsp,Sp,Tsp-Sp,Grass,Non-native,Cynodon dactylon,0
0,2020-07-20,1,9,1-9-Tsp,Tsp,Sp,Tsp-Sp,Grass,Non-native,Eremochloa ophiuroides,0
0,2020-07-20,1,9,1-9-Tsp,Tsp,Sp,Tsp-Sp,Sedge,Native,Cyperus spp.,1
0,2020-07-20,1,9,1-9-Tsp,Tsp,Sp,Tsp-Sp,Forb,Native,Oxalis corniculata,1
0,2020-07-20,1,9,1-9-Tsp,Tsp,Sp,Tsp-Sp,Grass,Native,Paspalum setaceum,0
0,2020-07-20,1,10,1-10-Tw,Tw,Sp,Tw-Sp,Bare,UK,Bareground,1
0,2020-07-20,1,10,1-10-Tw,Tw,Sp,Tw-Sp,Grass,Non-native,Paspalum notatum,9
0,2020-07-20,1,10,1-10-Tw,Tw,Sp,Tw-Sp,Grass,Non-native,Cynodon dactylon,1
0,2020-07-20,1,10,1-10-Tw,Tw,Sp,Tw-Sp,Grass,Non-native,Eremochloa ophiuroides,5
0,2020-07-20,1,10,1-10-Tw,Tw,Sp,Tw-Sp,Sedge,Native,Cyperus spp.,0
0,2020-07-20,1,10,1-10-Tw,Tw,Sp,Tw-Sp,Forb,Native,Oxalis corniculata,0
0,2020-07-20,1,10,1-10-Tw,Tw,Sp,Tw-Sp,Grass,Native,Paspalum setaceum,0
0,2020-07-20,1,11,1-11-C,C,Sp,C-Sp,Bare,UK,Bareground,0
0,2020-07-20,1,11,1-11-C,C,Sp,C-Sp,Grass,Non-native,Paspalum notatum,9
0,2020-07-20,1,11,1-11-C,C,Sp,C-Sp,Grass,Non-native,Cynodon dactylon,1
0,2020-07-20,1,11,1-11-C,C,Sp,C-Sp,Grass,Non-native,Eremochloa ophiuroides,3
0,2020-07-20,1,11,1-11-C,C,Sp,C-Sp,Sedge,Native,Cyperus spp.,0
0,2020-07-20,1,11,1-11-C,C,Sp,C-Sp,Forb,Native,Oxalis corniculata,0
