Year,Date,Plot,Sub_Plot,ID,Treatment,Fire,TSF,T+F,Group,Species,Coverage
3,2023-10-30,3,1,3-1-Tw,Tw,C,0,Tw-C,Woody,Rubus spp.,9
3,2023-10-30,3,1,3-1-Tw,Tw,C,0,Tw-C,Woody,Eupatorium capilifolium,7
3,2023-10-30,3,1,3-1-Tw,Tw,C,0,Tw-C,Woody,Liquidambar styraciflua,5
3,2023-10-30,3,1,3-1-Tw,Tw,C,0,Tw-C,Bare,Bareground,3
3,2023-10-30,3,1,3-1-Tw,Tw,C,0,Tw-C,Grass,Cynodon dactylon,3
3,2023-10-30,3,1,3-1-Tw,Tw,C,0,Tw-C,Sedge,Bulbostylis spp.,1
3,2023-10-30,3,1,3-1-Tw,Tw,C,0,Tw-C,Forb,Indigofera hirsuta,1
3,2023-10-30,3,1,3-1-Tw,Tw,C,0,Tw-C,Forb,Oxalis corniculata,1
3,2023-10-30,3,1,3-1-Tw,Tw,C,0,Tw-C,Grass,Paspalum notatum,1
3,2023-10-30,3,1,3-1-Tw,Tw,C,0,Tw-C,Grass,Paspalum setaceum,1
3,2023-10-30,3,1,3-1-Tw,Tw,C,0,Tw-C,Grass,Andropogon ternarius,0
3,2023-10-30,3,1,3-1-Tw,Tw,C,0,Tw-C,Grass,Andropogon virginicus,0
3,2023-10-30,3,1,3-1-Tw,Tw,C,0,Tw-C,Grass,Aristida stricta,0
3,2023-10-30,3,1,3-1-Tw,Tw,C,0,Tw-C,Woody,Baccharis halimifolia,0
3,2023-10-30,3,1,3-1-Tw,Tw,C,0,Tw-C,Forb,Cirsium spp.,0
3,2023-10-30,3,1,3-1-Tw,Tw,C,0,Tw-C,Forb,Crotalaria rotundifolia,0
3,2023-10-30,3,1,3-1-Tw,Tw,C,0,Tw-C,Forb,Crotalaria spectabilis,0
3,2023-10-30,3,1,3-1-Tw,Tw,C,0,Tw-C,Sedge,Cyperus esculentus,0
3,2023-10-30,3,1,3-1-Tw,Tw,C,0,Tw-C,Sedge,Cyperus spp.,0
3,2023-10-30,3,1,3-1-Tw,Tw,C,0,Tw-C,Grass,Dichanthelium spp.,0
3,2023-10-30,3,1,3-1-Tw,Tw,C,0,Tw-C,Forb,Dichondra spp.,0
3,2023-10-30,3,1,3-1-Tw,Tw,C,0,Tw-C,Grass,Digitaria spp.,0
3,2023-10-30,3,1,3-1-Tw,Tw,C,0,Tw-C,Grass,Eragrostis spectabilis,0
3,2023-10-30,3,1,3-1-Tw,Tw,C,0,Tw-C,Grass,Eremochloa ophiuroides,0
3,2023-10-30,3,1,3-1-Tw,Tw,C,0,Tw-C,Forb,Erigeron canadensis,0
3,2023-10-30,3,1,3-1-Tw,Tw,C,0,Tw-C,Forb,Galactia spp.,0
3,2023-10-30,3,1,3-1-Tw,Tw,C,0,Tw-C,Forb,Gamochaeta spp.,0
3,2023-10-30,3,1,3-1-Tw,Tw,C,0,Tw-C,Forb,Lactuca canadensis,0
3,2023-10-30,3,1,3-1-Tw,Tw,C,0,Tw-C,Forb,Liatris gracilis,0
3,2023-10-30,3,1,3-1-Tw,Tw,C,0,Tw-C,Forb,Oenothera laciniata,0
3,2023-10-30,3,1,3-1-Tw,Tw,C,0,Tw-C,Forb,Phyllanthus urinaria,0
3,2023-10-30,3,1,3-1-Tw,Tw,C,0,Tw-C,Forb,Phytolacca americana,0
3,2023-10-30,3,1,3-1-Tw,Tw,C,0,Tw-C,Forb,Pityopsis graminifolia,0
3,2023-10-30,3,1,3-1-Tw,Tw,C,0,Tw-C,Forb,Polypremum procumbens,0
3,2023-10-30,3,1,3-1-Tw,Tw,C,0,Tw-C,Forb,Richardia spp.,0
3,2023-10-30,3,1,3-1-Tw,Tw,C,0,Tw-C,Forb,Rumex hastatulus,0
3,2023-10-30,3,1,3-1-Tw,Tw,C,0,Tw-C,Forb,Solanum viarum,0
3,2023-10-30,3,1,3-1-Tw,Tw,C,0,Tw-C,Grass,Sorghastrum secundum,0
3,2023-10-30,3,1,3-1-Tw,Tw,C,0,Tw-C,Forb,Urtica dioica,0
3,2023-10-30,3,2,3-2-C,C,C,0,C-C,Woody,Rubus spp.,8
3,2023-10-30,3,2,3-2-C,C,C,0,C-C,Grass,Paspalum notatum,6
3,2023-10-30,3,2,3-2-C,C,C,0,C-C,Bare,Bareground,4
3,2023-10-30,3,2,3-2-C,C,C,0,C-C,Forb,Erigeron canadensis,3
3,2023-10-30,3,2,3-2-C,C,C,0,C-C,Grass,Paspalum setaceum,3
3,2023-10-30,3,2,3-2-C,C,C,0,C-C,Grass,Cynodon dactylon,2
3,2023-10-30,3,2,3-2-C,C,C,0,C-C,Forb,Rumex hastatulus,2
3,2023-10-30,3,2,3-2-C,C,C,0,C-C,Sedge,Cyperus esculentus,1
3,2023-10-30,3,2,3-2-C,C,C,0,C-C,Sedge,Cyperus spp.,1
3,2023-10-30,3,2,3-2-C,C,C,0,C-C,Forb,Lactuca canadensis,1
3,2023-10-30,3,2,3-2-C,C,C,0,C-C,Forb,Oxalis corniculata,1
3,2023-10-30,3,2,3-2-C,C,C,0,C-C,Forb,Richardia spp.,1
3,2023-10-30,3,2,3-2-C,C,C,0,C-C,Grass,Andropogon ternarius,0
3,2023-10-30,3,2,3-2-C,C,C,0,C-C,Grass,Andropogon virginicus,0
3,2023-10-30,3,2,3-2-C,C,C,0,C-C,Grass,Aristida stricta,0
3,2023-10-30,3,2,3-2-C,C,C,0,C-C,Woody,Baccharis halimifolia,0
3,2023-10-30,3,2,3-2-C,C,C,0,C-C,Sedge,Bulbostylis spp.,0
3,2023-10-30,3,2,3-2-C,C,C,0,C-C,Forb,Cirsium spp.,0
3,2023-10-30,3,2,3-2-C,C,C,0,C-C,Forb,Crotalaria rotundifolia,0
3,2023-10-30,3,2,3-2-C,C,C,0,C-C,Forb,Crotalaria spectabilis,0
3,2023-10-30,3,2,3-2-C,C,C,0,C-C,Grass,Dichanthelium spp.,0
3,2023-10-30,3,2,3-2-C,C,C,0,C-C,Forb,Dichondra spp.,0
3,2023-10-30,3,2,3-2-C,C,C,0,C-C,Grass,Digitaria spp.,0
3,2023-10-30,3,2,3-2-C,C,C,0,C-C,Grass,Eragrostis spectabilis,0
3,2023-10-30,3,2,3-2-C,C,C,0,C-C,Grass,Eremochloa ophiuroides,0
3,2023-10-30,3,2,3-2-C,C,C,0,C-C,Woody,Eupatorium capilifolium,0
3,2023-10-30,3,2,3-2-C,C,C,0,C-C,Forb,Galactia spp.,0
3,2023-10-30,3,2,3-2-C,C,C,0,C-C,Forb,Gamochaeta spp.,0
3,2023-10-30,3,2,3-2-C,C,C,0,C-C,Forb,Indigofera hirsuta,0
3,2023-10-30,3,2,3-2-C,C,C,0,C-C,Forb,Liatris gracilis,0
3,2023-10-30,3,2,3-2-C,C,C,0,C-C,Woody,Liquidambar styraciflua,0
3,2023-10-30,3,2,3-2-C,C,C,0,C-C,Forb,Oenothera laciniata,0
3,2023-10-30,3,2,3-2-C,C,C,0,C-C,Forb,Phyllanthus urinaria,0
3,2023-10-30,3,2,3-2-C,C,C,0,C-C,Forb,Phytolacca americana,0
3,2023-10-30,3,2,3-2-C,C,C,0,C-C,Forb,Pityopsis graminifolia,0
3,2023-10-30,3,2,3-2-C,C,C,0,C-C,Forb,Polypremum procumbens,0
3,2023-10-30,3,2,3-2-C,C,C,0,C-C,Forb,Solanum viarum,0
