Plot,Sub_Plot,Treatment,Fire,ID,Ambrosia artemisiifolia,Bulbostylis spp.,Cyperus rotundus,Dichondra spp.,Digitaria spp.,Gamochaeta spp.,Hedyotis corymbosa,Linaria canadensis,Oenothera laciniata,Oxalis corniculata,Paspalum setaceum,Trifolium repens
3,1,Tw,C,3-1-Tw,0,0,7,0,0,0,45,0,0,3,0,0
3,2,C,C,3-2-C,0,0,13,0,0,0,17,2,0,0,0,0
3,3,S,C,3-3-S,0,0,10,0,0,0,18,4,0,0,3,0
3,4,Tsp,C,3-4-Tsp,0,0,10,0,0,0,18,8,0,10,0,1
3,5,C,C,3-5-C,0,0,6,0,0,0,31,2,0,3,0,0
3,6,Tw,C,3-6-Tw,0,0,1,0,1,0,12,5,0,3,2,0
3,7,Tsp,C,3-7-Tsp,0,0,12,0,0,0,15,10,0,12,0,1
3,8,S,C,3-8-S,0,0,7,0,0,0,10,4,0,2,2,0
3,9,S,C,3-9-S,0,0,10,0,0,0,29,6,0,1,5,1
3,10,Tw,C,3-10-Tw,0,0,12,0,0,0,25,4,0,6,0,1
3,11,Tsp,C,3-11-Tsp,0,0,22,0,0,0,17,50,0,18,0,0
3,12,C,C,3-12-C,0,0,8,0,1,0,30,3,0,0,3,0
3,13,Tw,C,3-13-Tw,0,0,12,0,0,0,36,2,0,1,0,0
3,14,S,C,3-14-S,0,0,10,0,0,0,29,3,0,0,0,0
3,15,C,C,3-15-C,0,0,7,0,0,0,48,8,0,2,0,0
3,16,Tsp,C,3-16-Tsp,1,0,8,0,0,0,38,35,0,2,0,0
5,1,C,C,5-1-C,0,0,27,1,1,0,42,3,0,3,0,0
5,2,Tw,C,5-2-Tw,0,0,10,0,0,0,35,2,0,2,0,0
5,3,Tsp,C,5-3-Tsp,1,0,20,0,0,0,21,49,0,12,0,0
5,4,S,C,5-4-S,0,0,18,0,0,0,45,0,0,0,0,0
5,5,S,C,5-5-S,0,0,23,0,0,0,37,0,0,2,0,0
5,6,Tsp,C,5-6-Tsp,0,0,25,0,1,2,25,37,0,18,1,0
5,7,Tw,C,5-7-Tw,0,0,29,0,0,0,35,6,0,0,0,0
5,8,C,C,5-8-C,0,1,27,0,0,0,47,2,0,0,0,0
5,9,Tsp,C,5-9-Tsp,0,0,21,0,0,0,28,40,0,7,0,0
5,10,S,C,5-10-S,0,0,17,0,0,0,32,4,0,0,0,0
5,11,C,C,5-11-C,0,0,13,0,0,0,29,6,0,2,0,0
5,12,Tw,C,5-12-Tw,0,0,15,0,0,0,45,8,0,0,0,0
5,13,Tw,C,5-13-Tw,1,0,12,0,0,0,43,3,0,2,0,0
5,14,C,C,5-14-C,0,0,18,0,0,0,39,4,0,2,0,0
5,15,S,C,5-15-S,0,0,19,0,0,0,49,5,0,1,0,0
5,16,Tsp,C,5-16-Tsp,0,0,31,0,0,0,26,55,0,2,0,0
1,1,Tsp,Sp,1-1-Tsp,1,0,22,0,0,0,23,8,0,3,1,0
1,2,C,Sp,1-2-C,0,0,15,0,0,0,0,6,0,0,0,0
1,3,S,Sp,1-3-S,0,1,4,0,1,0,30,10,0,0,0,0
1,4,Tw,Sp,1-4-Tw,0,0,3,0,0,0,15,4,0,3,0,0
1,5,S,Sp,1-5-S,0,0,9,0,0,0,20,2,0,0,0,0
1,6,Tsp,Sp,1-6-Tsp,0,1,25,0,2,0,13,12,0,4,0,0
1,7,Tw,Sp,1-7-Tw,0,0,18,0,0,0,19,7,0,2,0,0
1,8,C,Sp,1-8-C,0,0,17,0,0,0,15,7,0,0,1,0
1,9,Tsp,Sp,1-9-Tsp,0,0,12,1,0,0,18,13,0,6,0,0
1,10,Tw,Sp,1-10-Tw,0,1,13,0,0,0,16,7,0,12,0,0
1,11,C,Sp,1-11-C,0,0,27,0,0,3,35,8,1,0,0,0
1,12,S,Sp,1-12-S,0,0,14,0,0,0,23,7,0,0,0,0
1,13,C,Sp,1-13-C,0,0,18,0,0,0,29,10,0,3,0,0
1,14,Tw,Sp,1-14-Tw,0,0,16,0,0,0,27,15,0,2,0,0
1,15,S,Sp,1-15-S,0,0,11,0,0,0,19,8,0,2,0,0
1,16,Tsp,Sp,1-16-Tsp,1,0,20,0,0,0,24,9,0,3,0,0
6,1,S,Sp,6-1-S,0,0,26,0,0,0,16,3,0,0,0,1
6,2,Tw,Sp,6-2-Tw,0,0,12,0,0,0,14,2,0,2,0,0
6,3,Tsp,Sp,6-3-Tsp,0,0,11,0,0,0,17,23,1,12,0,0
6,4,C,Sp,6-4-C,0,0,11,1,1,0,25,2,0,2,0,0
6,5,Tsp,Sp,6-5-Tsp,0,0,26,0,0,0,16,26,0,3,0,1
6,6,C,Sp,6-6-C,0,0,6,0,0,0,8,1,0,3,0,0
