Date,Temp Max,Temp Ave,Temp Min,Precip Total
1/1/2021,82.0,71.5,65.0,0.00
1/2/2021,78.0,70.2,64.0,0.00
1/3/2021,69.0,61.2,44.0,0.13
1/4/2021,63.0,48.4,38.0,0.00
1/5/2021,68.0,50.4,36.0,0.00
1/6/2021,64.0,49.2,33.0,0.00
1/7/2021,68.0,56.2,42.0,0.00
1/8/2021,59.0,52.2,47.0,0.00
1/9/2021,46.0,43.1,38.0,0.00
1/10/2021,53.0,44.5,39.0,0.00
1/11/2021,71.0,57.6,43.0,0.00
1/12/2021,63.0,56.8,49.0,0.00
1/13/2021,51.0,47.2,44.0,0.00
1/14/2021,61.0,41.0,32.0,0.00
1/15/2021,71.0,51.2,37.0,0.00
1/16/2021,58.0,45.4,36.0,0.05
1/17/2021,57.0,43.4,29.0,0.00
1/18/2021,62.0,45.7,35.0,0.00
1/19/2021,65.0,46.0,32.0,0.00
1/20/2021,71.0,51.3,33.0,0.00
1/21/2021,74.0,60.3,48.0,0.00
1/22/2021,70.0,65.9,60.0,0.00
1/23/2021,64.0,59.4,55.0,0.05
1/24/2021,69.0,60.8,55.0,0.00
1/25/2021,79.0,66.5,60.0,0.02
1/26/2021,79.0,66.5,58.0,0.00
1/27/2021,72.0,65.6,57.0,0.00
1/28/2021,62.0,50.7,36.0,0.18
1/29/2021,63.0,45.5,33.0,0.00
1/30/2021,68.0,49.8,32.0,0.00
1/31/2021,74.0,63.8,51.0,0.00
2/1/2021,67.0,54.3,42.0,0.28
2/2/2021,53.0,43.7,36.0,0.00
2/3/2021,57.0,41.8,32.0,0.00
2/4/2021,65.0,45.1,28.0,0.00
2/5/2021,65.0,57.0,44.0,0.00
2/6/2021,59.0,53.5,48.0,0.89
2/7/2021,68.0,62.3,47.0,2.31
2/8/2021,71.0,59.4,46.0,0.00
2/9/2021,71.0,64.8,60.0,0.00
2/10/2021,81.0,61.9,32.0,0.00
2/11/2021,82.0,67.4,61.0,0.00
2/12/2021,81.0,68.3,60.0,0.00
2/13/2021,76.0,64.0,59.0,0.00
2/14/2021,70.0,63.0,58.0,0.39
2/15/2021,77.0,70.2,66.0,0.00
2/16/2021,68.0,60.6,50.0,0.88
2/17/2021,60.0,53.5,45.0,0.00
2/18/2021,86.0,70.3,57.0,0.00
2/19/2021,73.0,61.2,46.0,0.42
2/20/2021,63.0,48.6,40.0,0.16
2/21/2021,69.0,55.6,39.0,0.00
2/22/2021,77.0,63.2,49.0,0.00
2/23/2021,73.0,61.2,46.0,0.11
2/24/2021,78.0,59.0,43.0,0.00
2/25/2021,79.0,61.7,42.0,0.00
2/26/2021,82.0,60.1,52.0,0.00
2/27/2021,86.0,70.1,57.0,0.00
2/28/2021,87.0,71.0,64.0,0.00
3/1/2021,83.0,72.0,63.0,0.10
3/2/2021,64.0,60.0,57.0,0.07
3/3/2021,63.0,56.4,48.0,1.20
3/4/2021,74.0,57.5,45.0,0.00
3/5/2021,74.0,58.0,41.0,0.00
3/6/2021,58.0,54.4,49.0,0.00
3/7/2021,66.0,52.0,40.0,0.06
3/8/2021,67.0,51.8,37.0,0.00
3/9/2021,73.0,56.7,39.0,0.00
3/10/2021,76.0,60.0,44.0,0.00
3/11/2021,79.0,63.1,45.0,0.00
3/12/2021,79.0,63.6,48.0,0.00
3/13/2021,82.0,65.4,50.0,0.00
3/14/2021,83.0,68.1,53.0,0.00
3/15/2021,84.0,69.8,54.0,0.00
3/16/2021,84.0,73.0,65.0,0.00
3/17/2021,88.0,70.6,60.0,0.00
3/18/2021,78.0,69.4,61.0,0.00
3/19/2021,68.0,60.1,50.0,0.11
3/20/2021,61.0,56.1,53.0,0.00
3/21/2021,57.0,53.0,48.0,0.00
3/22/2021,72.0,61.7,55.0,0.00
3/23/2021,79.0,66.4,55.0,0.00
3/24/2021,80.0,61.0,53.0,0.00
3/25/2021,89.0,68.2,54.0,0.00
3/26/2021,87.0,71.2,62.0,0.00
3/27/2021,89.0,74.0,65.0,0.00
3/28/2021,85.0,72.5,58.0,0.00
3/29/2021,75.0,69.1,62.0,0.00
3/30/2021,84.0,69.5,60.0,0.07
3/31/2021,86.0,74.8,66.0,1.45
4/1/2021,66.0,61.0,49.0,0.00
4/2/2021,62.0,50.2,38.0,0.00
4/3/2021,69.0,52.4,35.0,0.00
4/4/2021,73.0,57.2,41.0,0.00
4/5/2021,77.0,61.4,45.0,0.00
4/6/2021,79.0,63.9,48.0,0.00
4/7/2021,82.0,65.7,48.0,0.00
4/8/2021,80.0,65.8,51.0,0.00
4/9/2021,82.0,68.7,55.0,0.00
4/10/2021,84.0,68.6,57.0,0.00
4/11/2021,67.0,60.0,54.0,0.99
4/12/2021,81.0,68.6,61.0,0.79
4/13/2021,88.0,71.8,56.0,0.00
4/14/2021,86.0,72.4,60.0,0.00
4/15/2021,79.0,70.7,62.0,0.00
4/16/2021,75.0,66.6,62.0,0.00
4/17/2021,80.0,67.5,61.0,0.78
4/18/2021,76.0,67.7,65.0,0.36
4/19/2021,78.0,68.1,59.0,1.03
4/20/2021,76.0,65.6,56.0,0.00
4/21/2021,84.0,69.0,60.0,0.00
4/22/2021,74.0,61.5,51.0,0.00
4/23/2021,78.0,64.1,48.0,0.00
4/24/2021,86.0,74.5,61.0,0.00
4/25/2021,83.0,74.3,62.0,0.16
4/26/2021,83.0,68.6,54.0,0.00
4/27/2021,82.0,70.2,60.0,0.00
4/28/2021,84.0,72.0,60.0,0.00
4/29/2021,88.0,73.6,60.0,0.00
4/30/2021,87.0,72.3,64.0,0.00
5/1/2021,85.0,74.2,60.0,0.00
5/2/2021,85.0,74.4,63.0,0.00
5/3/2021,91.0,75.3,63.0,0.45
5/4/2021,92.0,74.4,67.0,0.00
5/5/2021,92.0,78.8,64.0,0.01
5/6/2021,80.0,73.5,69.0,0.00
5/7/2021,80.0,66.7,32.0,0.28
5/8/2021,80.0,65.8,48.0,0.00
5/9/2021,88.0,72.4,54.0,0.00
5/10/2021,86.0,75.1,66.0,0.00
5/11/2021,82.0,71.0,0.0,0.00
5/12/2021,91.0,76.2,68.0,0.15
5/13/2021,71.0,64.1,61.0,0.00
5/14/2021,80.0,66.4,57.0,0.05
5/15/2021,79.0,64.8,47.0,0.00
5/16/2021,81.0,67.4,50.0,0.00
5/17/2021,84.0,70.9,55.0,0.00
5/18/2021,85.0,72.9,61.0,0.00
