"","NMDS1","NMDS2","envfit_result$vectors$pvals"
"Andropogon ternarius",0,0,1
"Andropogon virginicus",-0.291436971727789,0.956590033143842,0.033
"Aristida beyrichiana",0,0,1
"Baccharis halimifolia",-0.708934558853425,-0.705274266695801,0.798
"Bareground",0.82068855866081,0.571375786749178,0.001
"Bulbostylis spp.",-0.997275706623204,0.0737642527189741,0.988
"Cirsium spp.",-0.471518807090949,0.881856005569803,0.647
"Crotalaria rotundifolia",0.0154873853156712,-0.999880063255631,0.136
"Crotalaria spectabilis",0.69576821955411,-0.718266374445096,0.201
"Cynodon dactylon",0.366680435185018,-0.930346955953813,0.001
"Cyperus esculentus",0.952340008270753,0.305038536330841,0.077
"Cyperus spp.",0.676633990724368,-0.736319524796413,0.342
"Dichanthelium spp.",0.326950237261869,-0.945041555887575,0.095
"Dichondra spp.",0.993544520176368,-0.113442877376728,0.001
"Digitaria spp.",0,0,1
"Eragrostis spectabilis",0,0,1
"Eremochloa ophiuroides",0.437129410730559,-0.899398620342701,0.39
"Erigeron canadensis",-0.696577091021183,-0.717481955358089,0.681
"Eupatorium capilifolium",-0.546377644652538,0.837538936064435,0.252
"Galactia spp.",0,0,1
"Gamochaeta spp.",0.074489134037978,0.997221825327882,0.408
"Indigofera hirsuta",0.456905518656764,0.889515231472173,0.001
"Lactuca canadensis",-0.105361970754378,-0.994433937030889,0.589
"Liatris gracilis",0,0,1
"Liquidambar styraciflua",0.334022649964129,0.942565047787653,0.631
"Oenothera laciniata",0.563770232673002,0.825931670752387,0.453
"Oxalis corniculata",0.983961378923975,0.178381626817421,0.003
"Paspalum notatum",-0.999625109723847,0.0273795545907235,0.001
"Paspalum setaceum",0.241108473033621,-0.970498173224141,0.016
"Phyllanthus urinaria",0.47045162924433,-0.882425784154881,0.834
"Phytolacca americana",0,0,1
"Pityopsis trayci",0,0,1
"Polypremum procumbens",0.497740539226884,0.867325980015663,0.009
"Raphanus raphanistrum",0.636288509334956,0.771451186328921,0.198
"Richardia spp.",0.685328890466738,-0.728233693186212,0.288
"Rubus spp.",0.0406763441191563,0.999172375033007,0.001
"Rumex hastatulus",0.0809313219309332,-0.996719680316643,0.021
"Solanum viarum",0.610162805562606,0.792276057134109,0.694
"Sorghastrum secundum",0,0,1
"Urtica dioica",0,0,1
"Verbena spp.",0.355587086913496,0.934643153091261,0.639
