"","Species","Contribution","SD","P_value","Cumulative_Contribution","Rank"
"Dichondra spp.","Dichondra spp.",0.331153529985471,0.113084157650223,0.01,0.979237234232374,1
"Paspalum notatum","Paspalum notatum",0.133286254195114,0.121475586704447,0.23,0.999835142997502,2
"Bareground","Bareground",0.0930358129673241,0.0775145977903189,0.01,0.646762662352763,3
"Paspalum setaceum","Paspalum setaceum",0.0806349050895037,0.0856141925219437,0.71,0.999918543776024,4
"Oxalis corniculata","Oxalis corniculata",0.0620218199212384,0.0799215810163635,0.72,0.999751742218979,5
"Cyperus esculentus","Cyperus esculentus",0.0426962351036975,0.0698686966351054,0.59,0.945764531723878,6
"Bulbostylis spp.","Bulbostylis spp.",0.0273003965100156,0.0404429244946085,0.25,0.740312310375137,7
"Richardia spp.","Richardia spp.",0.0264907756812002,0.0426100364711845,0.55,0.999980774143252,8
"Indigofera hirsuta","Indigofera hirsuta",0.0185798449407115,0.0463719214128151,0.94,0.99686935678831,9
"Cyperus spp.","Cyperus spp.",0.0165631006523803,0.0289736516715693,0.81,0.964980431270972,10
"Cynodon dactylon","Cynodon dactylon",0.00700374534156493,0.00786211356137,0.97,0.924208879707117,11
"Solanum viarum","Solanum viarum",0.00528487335422614,0.025280703801583,0.68,1,12
"Crotalaria rotundifolia","Crotalaria rotundifolia",0.0046809317957045,0.0081079408799393,0.98,0.861802342245288,13
"Oenothera simulans","Oenothera simulans",0.00302895015936433,0.0146482734098208,0.7,0.999541935733552,14
"Rubus spp.","Rubus spp.",0.00182799603526936,0.00688309405466969,0.58,1,15
"Euphorbia heterophylla","Euphorbia heterophylla",0.00169423507525752,0.00807127819611965,0.7,0.993931730016853,16
"Eremochloa ophiuroides","Eremochloa ophiuroides",0.00143377395769106,0.00696680501518674,0.19,0.984667878956502,17
"Oenothera laciniata","Oenothera laciniata",0.000986914923848734,0.0026248647369217,0.89,0.999259043556516,18
"Indigofera spicata","Indigofera spicata",0.000776736085162349,0.00283180252052082,0.32,0.997758007097083,19
"Erigeron canadensis","Erigeron canadensis",0.000768429665927436,0.00352728094911571,1,0.990302729105668,20
"Dichanthelium spp.","Dichanthelium spp.",0.000765970100588077,0.00324475120493853,0.05,0.973105918748317,21
"Rumex hastatulus","Rumex hastatulus",0.000732511128191628,0.0021227735376109,1,1,22
"Eupatorium capilifolium","Eupatorium capilifolium",0.000301679514563384,0.00135345024746537,0.99,0.992268318260657,23
"Lactuca canadensis","Lactuca canadensis",0.000259624299374085,0.00125556629227036,0.99,0.998607839537993,24
"Phyllanthus urinaria","Phyllanthus urinaria",0.000243838264794107,0.00118092929795315,0.48,0.999941969807648,25
"Oldenlandia corymbosa","Oldenlandia corymbosa",9.64341774456461e-05,0.000395336497328441,0.08,0.999653815115655,26
"Andropogon virginicus","Andropogon virginicus",8.44080426722715e-05,0.000408043382905601,0.6,0.384192132887376,27
"Liquidambar styraciflua","Liquidambar styraciflua",7.18871102426473e-05,0.000346797909079012,0.66,0.998957837003379,28
"Verbena spp.","Verbena spp.",7.18871102426473e-05,0.000346797909079012,0.94,1,29
"Urtica dioica","Urtica dioica",2.01920143634638e-05,9.7947980856597e-05,0.64,1,30
"Galactia spp.","Galactia spp.",1.67236541487584e-05,8.08335296972757e-05,0.86,0.9950767123747,31
"Phytolacca americana","Phytolacca americana",1.67236541487584e-05,8.08335296972757e-05,0.64,0.99996137197545,32
"Erigeron bonariensis","Erigeron bonariensis",1.65716832388843e-05,8.02852957101287e-05,0.15,0.988181955409762,33
"Baccharis halimifolia","Baccharis halimifolia",0,0,0.69,0.538825937594324,34
"Cirsium spp.","Cirsium spp.",0,0,0.63,0.812267742292601,35
"Crotalaria spectabilis","Crotalaria spectabilis",0,0,0.9,0.893475257114455,36
"Gamochaeta spp.","Gamochaeta spp.",0,0,0.62,0.995977852982388,37
