species,average,overall,sd,ratio,ava,avb,ord,cusum,p,Comparison
Bareground,0.02,0.20,0.07,0.22,0.00,2.75,7,0.61,0.32,Tsp_Tw
Cnidoscolus stimulosus,0.00,0.20,0.00,0.36,0.01,0.00,5,0.88,0.58,Tsp_Tw
Cynodon dactylon,0.00,0.20,0.01,0.58,0.08,0.63,1,0.96,0.43,Tsp_Tw
Cyperus spp.,0.00,0.20,0.00,0.44,0.05,0.12,3,0.98,0.87,Tsp_Tw
Eremochloa ophiuroides,0.06,0.20,0.08,0.69,4.51,7.20,9,0.99,0.97,Tsp_Tw
Oxalis corniculata,0.00,0.20,0.00,0.33,0.03,0.22,6,0.99,0.78,Tsp_Tw
Paspalum notatum,0.12,0.20,0.17,0.74,90.21,79.48,4,1.00,0.72,Tsp_Tw
Paspalum setaceum,0.00,0.20,0.00,0.25,0.01,0.07,8,1.00,0.25,Tsp_Tw
Richardia spp.,0.00,0.20,0.01,0.21,0.00,0.31,2,1.00,0.38,Tsp_Tw
Bareground,0.00,0.22,0.00,NA,0.00,0.00,7,0.55,NA,Tsp_C
Cnidoscolus stimulosus,0.00,0.22,0.00,0.42,0.01,0.01,5,0.98,0.43,Tsp_C
Cynodon dactylon,0.00,0.22,0.01,0.43,0.08,0.36,3,0.99,0.96,Tsp_C
Cyperus spp.,0.00,0.22,0.00,0.38,0.05,0.27,4,0.99,0.49,Tsp_C
Eremochloa ophiuroides,0.09,0.22,0.14,0.67,4.51,14.88,6,1.00,0.24,Tsp_C
Oxalis corniculata,0.00,0.22,0.00,0.33,0.03,0.24,8,1.00,0.72,Tsp_C
Paspalum notatum,0.12,0.22,0.18,0.68,90.21,79.00,2,1.00,0.74,Tsp_C
Paspalum setaceum,0.00,0.22,0.00,0.43,0.01,0.00,9,1.00,0.75,Tsp_C
Richardia spp.,0.00,0.22,0.00,0.21,0.00,0.00,1,1.00,0.79,Tsp_C
Bareground,0.02,0.29,0.07,0.22,2.75,0.00,7,0.55,0.34,Tw_C
Cnidoscolus stimulosus,0.00,0.29,0.00,0.36,0.00,0.01,5,0.91,0.54,Tw_C
Cynodon dactylon,0.00,0.29,0.01,0.66,0.63,0.36,1,0.96,0.04,Tw_C
Cyperus spp.,0.00,0.29,0.00,0.45,0.12,0.27,3,0.98,0.10,Tw_C
Eremochloa ophiuroides,0.10,0.29,0.14,0.75,7.20,14.88,6,0.98,0.06,Tw_C
Oxalis corniculata,0.00,0.29,0.01,0.44,0.22,0.24,9,0.99,0.11,Tw_C
Paspalum notatum,0.16,0.29,0.18,0.86,79.48,79.00,4,1.00,0.09,Tw_C
Paspalum setaceum,0.00,0.29,0.00,0.23,0.07,0.00,8,1.00,0.60,Tw_C
Richardia spp.,0.00,0.29,0.01,0.21,0.31,0.00,2,1.00,0.56,Tw_C
