"species","average","overall","sd","ratio","ava","avb","ord","cusum","p","Comparison"
"Bareground",0.0150312065022684,0.201855395370963,0.0675209196112393,0.222615547726728,0,2.75416666666667,7,0.610673031472764,0.316,"Tsp_Tw"
"Cnidoscolus stimulosus",6.22697158019417e-05,0.201855395370963,0.000170836872717492,0.364498101676886,0.00833333333333333,0.00416666666666667,5,0.883382028147754,0.579,"Tsp_Tw"
"Cynodon dactylon",0.00363976407605521,0.201855395370963,0.0062391235427942,0.583377464974053,0.075,0.625,1,0.957847248533093,0.433,"Tsp_Tw"
"Cyperus spp.",0.000889426163855428,0.201855395370963,0.00202069718122421,0.440158066295012,0.0458333333333333,0.120833333333333,3,0.975878790713901,0.87,"Tsp_Tw"
"Eremochloa ophiuroides",0.055047782345049,0.201855395370963,0.079759428432473,0.690172728502616,4.50833333333333,7.2,9,0.986154769914116,0.966,"Tsp_Tw"
"Oxalis corniculata",0.00135100904601382,0.201855395370963,0.00413015423699724,0.327108618344494,0.025,0.220833333333333,6,0.992847724757018,0.781,"Tsp_Tw"
"Paspalum notatum",0.123267646210319,0.201855395370963,0.165985837960057,0.742639539163472,90.2083333333333,79.4791666666667,4,0.997253978858974,0.722,"Tsp_Tw"
"Paspalum setaceum",0.000492029467316805,0.201855395370963,0.00195040969468399,0.252269801907708,0.0125,0.0666666666666667,8,0.999691513245472,0.251,"Tsp_Tw"
"Richardia spp.",0.00207426184428325,0.201855395370963,0.00987569913247473,0.21003696208832,0.00416666666666667,0.3125,2,1,0.38,"Tsp_Tw"
"Bareground",0,0.221521575070709,0,NA,0,0,7,0.554578442148499,NA,"Tsp_C"
"Cnidoscolus stimulosus",7.9358275561648e-05,0.221521575070709,0.000187368328534952,0.423541567468509,0.00833333333333333,0.00833333333333333,5,0.975402664852641,0.428,"Tsp_C"
"Cynodon dactylon",0.00219019809785007,0.221521575070709,0.00511698959945545,0.428024731198038,0.075,0.358333333333333,3,0.985289729339028,0.957,"Tsp_C"
"Cyperus spp.",0.0016287241548412,0.221521575070709,0.00427579395792176,0.380917361984589,0.0458333333333333,0.266666666666667,4,0.992642169634386,0.489,"Tsp_C"
"Eremochloa ophiuroides",0.0932216446413284,0.221521575070709,0.138732559882272,0.671952169847052,4.50833333333333,14.8791666666667,6,0.999139919712881,0.237,"Tsp_C"
"Oxalis corniculata",0.00143939183180404,0.221521575070709,0.00432098689462856,0.333116453927078,0.025,0.241666666666667,8,0.999539202723878,0.721,"Tsp_C"
"Paspalum notatum",0.122851090004996,0.221521575070709,0.17936166013398,0.684935063118997,90.2083333333333,79,2,0.999897444468666,0.741,"Tsp_C"
"Paspalum setaceum",8.84498014949101e-05,0.221521575070709,0.000207321709507835,0.426630678016706,0.0125,0.00416666666666667,9,1,0.752,"Tsp_C"
"Richardia spp.",2.27182628332305e-05,0.221521575070709,0.000109188224547938,0.208065136394413,0.00416666666666667,0,1,1,0.792,"Tsp_C"
"Bareground",0.0150333418298986,0.286289059020063,0.067492008519306,0.222742546261582,2.75416666666667,0,7,0.547980388907533,0.34,"Tw_C"
"Cnidoscolus stimulosus",6.25112306915982e-05,0.286289059020063,0.000171473626490379,0.36455303343751,0.00416666666666667,0.00833333333333333,5,0.906638766959061,0.536,"Tw_C"
"Cynodon dactylon",0.00466460070288222,0.286289059020063,0.00711970968703919,0.655167262139034,0.625,0.358333333333333,1,0.959149826520177,0.036,"Tw_C"
"Cyperus spp.",0.00202392443673852,0.286289059020063,0.00452796934191286,0.446982804853422,0.120833333333333,0.266666666666667,3,0.975443151591169,0.095,"Tw_C"
"Eremochloa ophiuroides",0.102679969562034,0.286289059020063,0.136192897501865,0.753930428425079,7.2,14.8791666666667,6,0.983961182135436,0.058,"Tw_C"
"Oxalis corniculata",0.00243861894922243,0.286289059020063,0.00559830238929711,0.435599719280011,0.220833333333333,0.241666666666667,9,0.991132401089022,0.113,"Tw_C"
"Paspalum notatum",0.156880789901786,0.286289059020063,0.182512661792152,0.859561130506354,79.4791666666667,79,4,0.998201914830365,0.088,"Tw_C"
"Paspalum setaceum",0.000452260880561217,0.286289059020063,0.00196487491076821,0.23017286142882,0.0666666666666667,0.00416666666666667,8,0.999781649948812,0.599,"Tw_C"
"Richardia spp.",0.00205304152624886,0.286289059020063,0.0098731273848102,0.207942371877777,0.3125,0,2,1,0.557,"Tw_C"
