"","Andropogon ternarius","Andropogon virginicus","Aristida stricta","Baccharis halimifolia","Bulbostylis spp.","Cirsium spp.","Crotalaria rotundifolia","Crotalaria spectabilis","Cynodon dactylon","Cyperus esculentus","Cyperus spp.","Dichanthelium spp.","Dichondra spp.","Digitaria spp.","Eragrostis spectabilis","Eremochloa ophiuroides","Erigeron canadensis","Eupatorium capilifolium","Galactia spp.","Gamochaeta spp.","Indigofera hirsuta","Lactuca canadensis","Liatris gracilis","Liquidambar styraciflua","Oenothera laciniata","Oxalis corniculata","Paspalum notatum","Paspalum setaceum","Phyllanthus urinaria","Phytolacca americana","Pink Oenothera*","Pityopsis graminifolia","Richardia spp.","Rubus spp.","Rumex hastatulus","Solanum viarum","Sorghastrum secundum","UK - Blue Vervain","UK - Euphorb","UK - Mimosa","UK - Pinkster","UK - Porterweed","UK - Whirledleaf","UK - White Forb","Urtica dioica"
"Andropogon ternarius",1,0.0060218022615079,0.717668190464765,-0.0213931274920279,-0.0271933540942717,-0.0213931274920279,-0.104670540883656,-0.0213931274920279,-0.108585057959581,-0.13747354094599,0.11106820842224,-0.0288235111269595,-0.134353283463375,-0.0353961339411503,0.377231817717043,-0.0213931274920279,-0.05629360044565,0.08367478380136,-0.0271462644898952,0.0505721737424174,-0.082434791321593,-0.0614912492553426,0.176145207313084,-0.0288235111269595,-0.0283383765949113,-0.0230256020100136,-0.081920960911494,-0.176435939250263,-0.0213931274920279,-0.0213931274920279,-0.0213931274920279,0.33093539914801,-0.129394364664228,-0.048478616556372,0.0798827056549589,-0.00226874055776073,0.538685328601275,-0.0359935850750434,-0.0362342349399901,-0.0352453688425121,-0.0246611913715752,-0.0347717253370232,-0.0288235111269595,-0.0213931274920279,-0.0213931274920279
"Andropogon virginicus",0.0060218022615079,1,0.0151085091395061,-0.0207408545454675,0.0876078556328355,-0.0207408545454675,0.102186325068622,-0.0207408545454675,-0.157911476042253,-0.0566294929094164,-0.143227191314994,-0.0279446870027166,-0.112694149327763,-0.0343169116258883,0.236144433864507,-0.0207408545454675,-0.054577217805998,-0.0630960970690714,-0.0263185793403755,0.0350215974743178,-0.0799213680619754,0.0264463690092441,0.204816011143312,-0.0279446870027166,-0.0189109122022824,0.053269435913573,0.12746555432198,0.0130910538073583,-0.0207408545454675,-0.0207408545454675,-0.0207408545454675,0.195437855765432,0.15385774269101,-0.0470005114930435,-0.0667929973342198,0.0229383418890955,0.0516110363323459,-0.0348961465727524,-0.0351294590628081,-0.0341707433303666,-0.0239092756936258,-0.0337115411376339,-0.0279446870027166,-0.0207408545454675,-0.0207408545454675
"Aristida stricta",0.717668190464765,0.0151085091395061,1,-0.0310748102014654,0.0541758753059979,-0.0310748102014654,-0.152040284565986,-0.0310748102014654,-0.150556977254827,-0.149093031315242,0.168168232529121,-0.041867891356412,-0.140137744482803,-0.0514150230954674,0.533416667417602,-0.0310748102014654,-0.0817698557659502,-0.035603410988795,-0.0394315892810261,0.327227068404995,-0.119741514898675,-0.0893197546909791,0.158493521927069,-0.041867891356412,-0.0329986016643439,0.0674552214250946,-0.105740976678352,-0.227160695490909,-0.0310748102014654,-0.0310748102014654,-0.0310748102014654,0.444313793290044,-0.180865337468605,-0.0704181195049793,0.103532427318086,0.00149794669626439,0.76615553026157,-0.0522828569639515,-0.0526324154322499,-0.051196027680845,-0.0358218704347596,-0.0505080318727656,-0.041867891356412,-0.0310748102014654,-0.0310748102014654
"Baccharis halimifolia",-0.0213931274920279,-0.0207408545454675,-0.0310748102014654,1,0.140201964748982,-0.0105263157894737,0.310269924699426,-0.0105263157894737,-0.0801426026087199,-0.0885901779747329,-0.0726900929812681,-0.0141823761110594,-0.0215406295173454,-0.0174163821409423,-0.0581101181448138,-0.0105263157894737,0.149573584477829,-0.0320222795727321,-0.0133571004347867,-0.024883630089672,-0.0405613740119958,-0.030256273104163,-0.0342652111388133,-0.0141823761110594,-0.0443662213860627,0.0960914678007139,0.0497501897555449,0.10231635913573,-0.0105263157894737,-0.0105263157894737,-0.0105263157894737,-0.0502424897446379,-0.0900776560375685,-0.0238535121664348,-0.053863285608091,-0.0189773632954173,-0.0389508479204999,-0.0177103531513278,-0.0178287629758879,-0.0173421993904824,-0.0121343402557004,-0.0171091469248124,-0.0141823761110594,-0.0105263157894737,-0.0105263157894737
"Bulbostylis spp.",-0.0271933540942717,0.0876078556328355,0.0541758753059979,0.140201964748982,1,-0.139038462966832,0.259433758427351,0.0843538792058188,-0.0723434022958262,-0.248637561798295,0.329155919172041,0.11365215192576,0.0386287521651878,-0.0200383244797329,-0.0701236723097784,0.251898135835307,-0.0278607749449122,-0.180262087954571,-0.105562311513297,-0.0646356703110454,-0.14025636914246,-0.0532448818628046,-0.153167932962818,0.163815860361958,0.160498193780213,0.100438031229088,0.198586917836238,-0.0221045414734795,-0.0273422918805068,0.0843538792058188,0.028505793662656,-0.0983894985430952,-0.00628147180032857,-0.0619599207428386,0.0956607176055854,-0.16182510717429,0.0248344680971276,0.0103751348231202,0.0740789295577377,0.00095843979511764,-0.160278301735568,-0.062596061378768,-0.187330098691426,-0.139038462966832,-0.0273422918805068
"Cirsium spp.",-0.0213931274920279,-0.0207408545454675,-0.0310748102014654,-0.0105263157894737,-0.139038462966832,1,-0.0515022951930222,-0.0105263157894737,-0.0801426026087199,-0.0885901779747329,0.131054401214403,-0.0141823761110594,-0.164154452528735,-0.0174163821409423,-0.0581101181448138,-0.0105263157894737,-0.0276988119403386,-0.0320222795727321,-0.0133571004347867,-0.024883630089672,0.38039991303142,-0.030256273104163,-0.0342652111388133,-0.0141823761110594,-0.0443662213860627,0.0155256956708577,0.0497501897555449,-0.00930148719415726,-0.0105263157894737,-0.0105263157894737,-0.0105263157894737,-0.0502424897446379,-0.0900776560375685,0.262388633830783,-0.053863285608091,-0.0189773632954173,-0.0389508479204999,-0.0177103531513278,-0.0178287629758879,-0.0173421993904824,-0.0121343402557004,-0.0171091469248124,-0.0141823761110594,-0.0105263157894737,-0.0105263157894737
"Crotalaria rotundifolia",-0.104670540883656,0.102186325068622,-0.152040284565986,0.310269924699426,0.259433758427351,-0.0515022951930222,1,0.189679184735277,-0.124329196383118,-0.0959801012624358,0.0607210952807102,-0.0693903674959734,-0.0649726679346447,0.186864965037661,-0.0322490094433558,-0.0515022951930222,0.0918908502310729,0.16431871603255,0.221561003810941,0.0207863439381524,0.0213238132749103,0.025274338863076,-0.0406497171288365,0.255559646143707,0.225845029931836,0.198544960830336,0.149809683420173,0.125428771399844,0.00879307478905256,-0.0515022951930222,-0.0515022951930222,-0.0585841653217422,0.167093762894481,-0.0142327450455703,0.0241475041807315,-0.0672735987722784,-0.174250189615436,0.136529365399081,-0.0872311103025072,-0.084850491868963,-0.059369905513057,0.092693768943345,-0.0693903674959734,-0.0515022951930222,-0.0515022951930222
"Crotalaria spectabilis",-0.0213931274920279,-0.0207408545454675,-0.0310748102014654,-0.0105263157894737,0.0843538792058188,-0.0105263157894737,0.189679184735277,1,0.133571004347867,0.204673859458866,-0.0726900929812681,-0.0141823761110594,-0.0215406295173454,-0.0174163821409423,-0.0581101181448138,-0.0105263157894737,-0.0276988119403386,-0.0320222795727321,-0.0133571004347867,-0.024883630089672,-0.0405613740119958,-0.030256273104163,-0.0342652111388133,0.439653659442841,0.199014193074624,0.17665723993057,-0.124557044424466,-0.0465074359707863,-0.0105263157894737,-0.0105263157894737,-0.0105263157894737,-0.0502424897446379,0.0910208775667577,-0.0238535121664348,0.225643493763625,-0.0189773632954173,-0.0389508479204999,-0.0177103531513278,-0.0178287629758879,-0.0173421993904824,-0.0121343402557004,0.229262568792487,-0.0141823761110594,-0.0105263157894737,-0.0105263157894737
"Cynodon dactylon",-0.108585057959581,-0.157911476042253,-0.150556977254827,-0.0801426026087199,-0.0723434022958262,-0.0801426026087199,-0.124329196383118,0.133571004347867,1,0.160591787072418,0.0794460778208114,-0.107978190608023,0.201701888067535,-0.132600448316298,-0.326448872674802,0.0801426026087199,0.0749817647703044,-0.191559608829416,-0.101694915254237,-0.157877244487668,-0.044514009005718,0.0282895255044248,-0.199496320676954,-0.0119975767342248,-0.0418209161475737,-0.103296800918122,-0.356657147574472,-0.173108985445701,0.0801426026087199,-0.0801426026087199,0.0267142008695733,-0.339508870938847,0.0921595248631867,0.0227012302382251,0,0.150151132562937,-0.224223847574557,-0.134838610493361,-0.00411333725112897,-0.110029712033915,0.0923853728580008,-0.0781567790892584,0.155968497544923,0.0801426026087199,-0.0801426026087199
"Cyperus esculentus",-0.13747354094599,-0.0566294929094164,-0.149093031315242,-0.0885901779747329,-0.248637561798295,-0.0885901779747329,-0.0959801012624358,0.204673859458866,0.160591787072418,1,-0.594870821072593,-0.119359826259418,0.124687038998202,0.0298668759564955,-0.0904953793638045,-0.00480045299370474,0.0314647906142607,-0.269501647417974,-0.112414250950693,-0.159903723347236,0.136392368510842,-0.0771772826548341,-0.14799130287112,0.313393041360936,0.23202150905746,0.150706089475351,-0.358871452471394,0.153093249314211,0.0370944094968093,-0.0885901779747329,-0.0885901779747329,-0.184330839850655,0.234842133868519,-0.200752754373957,-0.175206935975911,0.337895525092681,-0.229504507297637,0.2738729845832,-0.0403846329211685,0.0611133713477578,-0.0814256398742228,0.189671858779132,0.256947015149585,0.0789892719873234,0.0789892719873234
